c_id,title,year,release,rating
4008,Thirakkadha (2008),2008,09-12-2008,85
4009,Thaavalam (2008),2008,,61
4011,Aakaashagopuram (2008),2008,,67
4012,Maya Bazar (2008),2008,10-04-2008,77
4016,Apoorva - The Rare School Days (2008),2008,09-05-2008,60
4017,Chithrasalabhangalude Veedu (2008),2008,,92
4019,Bhai (2008),2008,,70
4021,Sulthaan (2008),2008,,46
4023,Lollypop (2008),2008,21-12-2008,85
4024,Crazy Gopalan (2008),2008,,88
4026,Homam (2008),2008,,83
4027,Pakal Nakshathrangal (2008),2008,29-11-2008,82
4034,Idiot (2008),2008,,68
4035,Ghatolkkachan (2008),2008,,86
4040,Manjaadikkuru (2012),2012,18-05-2012,94
4041,Company (2002) (2008),2008,,90
4043,Aayirathil Oruvan (2009),2009,,86
4044,Winter (2009),2009,16-07-2009,97
4046,Seethaa Kalyaanam (2009),2009,14-11-2009,83
4051,Keralavarma Pazhassi Raaja (2009),2009,16-10-2009,94
4053,Bhaarya Swantham Suhruthu (2009),2009,27-02-2009,49
4055,Banaras (2009),2009,04-07-2009,79
4056,Love In Singapore (2009),2009,23-01-2009,67
4057,Makante Achan (2009),2009,,96
4059,Colours (2009),2009,,81
4060,Perumaal (2009),2009,,62
4061,Red Chillies (2009),2009,14-02-2009,76
4062,Samastha Keralam P.O. (2009),2009,,31
4064,Kadha Samvidhaanam Kunjacko (2009),2009,,30
4065,Sagar Alias Jacky Reloaded (2009),2009,26-03-2009,89
4066,Venalmaram (2009),2009,,30
4067,Ithu Njangalude Lokam (2009),2009,,60
4068,Black Dahlia (2009),2009,,79
4069,Currency (2009),2009,30-04-2009,55
4070,2 Harihar Nagar (2009),2009,,95
4071,Hailasa (2009),2009,02-06-2009,57
4072,Moz & Cat (2009),2009,,55
4073,IG (Inspector General) (2009),2009,04-03-2009,60
4075,Samayam (2009),2009,,90
4076,Calendar (2009),2009,,41
4077,Bhaagyadevatha (2009),2009,,92
4078,Nanthuni (2009),2009,,22
4079,Therukkoothu (Koodaaram) (2009),2009,,65
4080,Pakida Pakida 12 (2009),2009,,25
4081,Bhagavaan (2009),2009,,41
4082,Vellathooval (2009),2009,,47
4084,Passenger (2009),2009,05-07-2009,96
4085,Mounam (2009),2009,,40
4086,Kadhaparayum Theruvoram (2009),2009,,40
4087,Malayaali (2009),2009,,49
4089,Pramukhan (2009),2009,,22
4090,Ivar Vivaahitharaayaal (2009),2009,06-12-2009,86
4091,Bhramaram (2009),2009,25-06-2009,92
4092,Dr Patient (2009),2009,,33
4093,Kaancheepurathe Kalyaanam (2009),2009,,82
4094,Ee Pattanathil Bhootham (2009),2009,,77
4095,Madhyavenal (2009),2009,,30
4096,Puthiya Mukham (2009),2009,16-07-2009,91
4097,Daddy Cool (2009),2009,,76
4098,Parayaan Marannathu (2009),2009,,85
4099,Bhaarya Onnu Makkal Moonnu (2009),2009,,85
4100,Rithu (2009),2009,,88
4101,Ayyo Paavam (2009),2009,,75
4102,Oru Black and White Kudumbam (2009),2009,,88
4103,Sudharil Sudhan (2009),2009,,29
4104,Ranam (2009),2009,,65
4105,Kaanaakkanmani (2009),2009,,86
4106,Vairam (2009),2009,20-09-2009,56
4107,Loudspeaker (2009),2009,20-09-2009,91
4108,Duplicate (2009),2009,,89
4109,Robinhood - Prince of Thieves (2009),2009,24-09-2009,93
4110,Angel John (2009),2009,,64
4111,Keralolsavam Mission 2009 (2009),2009,,50
4112,TD Dasan Std VI B (2010),2010,15-04-2010,84
4113,Pathaam Nilayile Theevandi (2009),2009,,66
4114,Swantham Lekhakan (2009),2009,,86
4115,Kerala Cafe (2009),2009,,92
4116,Utharaaswayamvaram (2009),2009,11-06-2009,73
4117,Sufi Paranja Kadha (2010),2010,19-02-2010,74
4118,Simhakutty (Gangothri 2003) (2009),2009,,46
4119,Chemistry (2009),2009,25-01-2009,34
4120,Neelathaamara (2009),2009,,85
4121,My Big Father (2009),2009,,90
4122,Gulumaal - The Escape (2009),2009,,72
4123,Operation Duryodhana (2009),2009,,58
4124,Thathwamasi (2009),2009,,20
4125,Kappalu Muthalaali (2009),2009,27-11-2009,83
4126,Cheriya Kallanum Valiya Policeum (2010),2010,26-02-2010,28
4127,April Fool (2010),2010,04-01-2010,52
4128,Decent Parties (2009),2009,,12
4129,Panchaamritham (2009),2009,,40
4130,Ullaasam (2009),2009,,62
4131,Chattambinaadu (2009),2009,,91
4132,Kanmazha Peyyum Munpe (2009),2009,,20
4133,Paaleri Maanikyam - Oru Paathira Kolapaathakathinte Kadha (2009),2009,,77
4134,Ividam Swargamaanu (2009),2009,25-12-2009,92
4135,Black Stallion (2009),2009,,49
4138,Bhoomi Malayalam (2009),2009,,68
4139,Rahasya Police (2009),2009,23-07-2009,68
4140,Themmaadikkoottam (2012),2012,02-10-2012,20
4144,Super (2009),2009,,37
4145,Raman (2009),2009,,48
4146,Nayanam (2009),2009,,10
4148,Shouryam (2009),2009,,40
4149,King (2009),2009,,95
4151,Drona (2009),2009,,80
4152,Aayiram Varnangal (2009),2009,,60
4153,Gambler (Takkari [2007]) (2009),2009,,54
4154,Changaatham (2009),2009,,54
4155,Ride (2009),2009,,91
4156,Honeymoon (2009),2009,,65
4157,Garjjanam (2009),2009,,60
4158,Subramanyapuram (2009),2009,,40
4159,Pathinonnil Vyaazham (2010),2010,11-12-2010,41
4160,Brahmaasthram (2010),2010,,66
4162,Bodyguard (2010),2010,23-01-2010,94
4163,Ringtone (2010),2010,,30
4164,Kadaaksham (2010),2010,,62
4165,Paattinte Paalaazhi (2010),2010,20-08-2010,85
4166,Yugapurushan (2010),2010,02-05-2010,92
4167,Kalabhamazha (2010),2010,,12
4168,Happy Husbands (2010),2010,14-01-2010,89
4169,Aagathan (2010),2010,,89
4170,Nilaavu (2010),2010,29-10-2010,70
4171,Punyam Aham (2010),2010,22-01-2010,57
4172,Drona 2010 (2010),2010,27-01-2010,89
4173,Aarya 2 (2010),2010,,74
4174,Anwar (2010),2010,15-10-2010,87
4175,Senior Mandrake (2010),2010,29-01-2010,66
4176,Pullimaan (2010),2010,,23
4177,Nizhal (2010),2010,,20
4178,Thoovalkkaattu (2010),2010,,12
4180,Thaanthonni (2010),2010,19-03-2010,93
4181,In Ghost House Inn (2010),2010,25-03-2010,94
4182,Naayakan (2010),2010,,96
4183,Pramaani (2010),2010,26-03-2010,80
4184,Janakan (2010),2010,,94
4185,Sathgamaya (2010),2010,,56
4186,Pokkiri Raja (2010),2010,,86
4187,Paappee Appachaa (2010),2010,14-04-2010,48
4189,3 Chaar Sou Bees (2010),2010,,32
4190,Mummy and Me (2010),2010,21-05-2010,81
4191,Vande Maatharam (2010),2010,,76
4193,Valiyangaadi (2010),2010,03-05-2010,50
4194,Kadha Thudarunnu (2010),2010,05-07-2010,96
4195,Love Guru (2010),2010,,50
4196,Oru Naal Varum (2010),2010,,89
4197,Nalla Paattukaarey (2010),2010,,20
4198,Alexander The Great (2010),2010,,76
4199,Malarvaadi Arts Club (2010),2010,,95
4200,Elektra (2016),2016,11-11-2016,62
4201,Pithaavum Kanyakayum [Daddy You Bastard] (2010),2010,,30
4202,Amma Nilaavu (2010),2010,08-06-2010,20
4203,24 Hours (2010),2010,,65
4204,Nallavan (2010),2010,,29
4205,Apoorvaraagam (2010),2010,,80
4206,Penpattanam (2010),2010,,40
4207,Neelaambari (2010),2010,,69
4208,Njaan Sanchaari (2010),2010,,50
4209,Yakshiyum Njaanum (2010),2010,,75
4211,Plus Two (2010),2010,13-08-2010,67
4212,Sakudumbam Shyamala (2010),2010,,90
4213,Koottukaar (2010),2010,,46
4214,Game (2010),2010,,52
4215,Shikkar (2010),2010,,91
4216,Aathmakadha (2010),2010,,76
4217,Varan (2010),2010,,82
4218,Advocate Lakshmanan - Ladies Only (2010),2010,30-07-2010,24
4219,Raamaraavanan (2010),2010,30-07-2010,51
4220,Avan (2010),2010,,40
4221,Inganeyum Oraal (2010),2010,,11
4222,Thaskara Lahala (2010),2010,,27
4223,Chekavar (2010),2010,,84
4224,Elsamma Enna Aankutty (2010),2010,09-09-2010,94
4225,Pranchiyettan and the Saint (2010),2010,09-10-2010,96
4226,Kaaryasthan (2010),2010,11-05-2010,89
4227,Four Friends (2010),2010,28-10-2010,73
4228,Cocktail (2010),2010,,93
4229,Nirakkaazhcha (2010),2010,27-08-2010,63
4230,Swantham Bhaarya Zindabad (2010),2010,,37
4231,Oridathoru Postman (2010),2010,10-08-2010,38
4232,Puthumukhangal (2010),2010,,79
4233,Fiddle (2010),2010,27-08-2010,12
4234,Canvas (2010),2010,21-05-2010,77
4236,Holidays (2010),2010,,30
